x, y,z
3481,3517,0.75
3699,3313,0.75
3801,3182,0.75
4013,3037,0.75
4201,2899,0.75
4413,2709,0.75
4685,2577,0.75
4994,2498,0.75
2942,2965,1.00
3287,2636,1.00
3614,2360,1.00
3923,2058,1.00
4025,1815,1.00
4201,1624,1.00
4443,1519,1.00
4734,1440,1.00
4994,1407,1.00
2579,2584,1.25
2936,2255,1.25
3208,1979,1.25
3420,1722,1.25
3614,1453,1.25
3983,1308,1.25
4534,1236,1.25
4994,1197,1.25
2306,2321,1.50
2742,1880,1.50
2960,1624,1.50
3202,1341,1.50
3444,1216,1.50
3838,1144,1.50
4540,1078,1.50
4994,1065,1.50
1919,1946,2.00
2318,1545,2.00
2506,1262,2.00
2669,1091,2.00
3196,986,2.00
3832,934,2.00
4546,914,2.00
4994,914,2.00
1695,1716,2.50
2004,1354,2.50
2222,1058,2.50
2500,914,2.50
2930,868,2.50
3475,835,2.50
4292,822,2.50
5000,809,2.50
1507,1519,3.00
1737,1256,3.00
1937,1012,3.00
2107,901,3.00
2488,815,3.00
3008,749,3.00
3680,743,3.00
4334,730,3.00
4994,703,3.00
1259,1256,4.00
1489,999,4.00
1731,776,4.00
2185,690,4.00
2742,657,4.00
3384,651,4.00
4153,631,4.00
4994,611,4.00
1102,1091,5.00
1386,743,5.00
1798,631,5.00
2361,565,5.00
3081,546,5.00
3808,552,5.00
4443,526,5.00
4994,506,5.00
878,888,7.00
1077,671,7.00
1229,559,7.00
1574,519,7.00
2004,506,7.00
2482,500,7.00
2960,487,7.00
3535,480,7.00
4140,434,7.00
714,697,10.00
714,697,10.00
841,565,10.00
1168,467,10.00
1592,427,10.00
2107,394,10.00
2651,381,10.00
3456,362,10.00
3456,362,10.00
